cleist,ext,neither_freq,dim_freq,dim_bh_norm,com_freq,com_bh_norm
0.32,0,1.78193258937636e-17,8.38556512647698e-16,8.38556512647698e-16,0.999999999999999,0.999999999999999
0.33,0,4.05023544574395e-18,1.99489208521717e-16,1.99489208521717e-16,1,1
0.34,0,9.00313068484064e-19,4.63797641340276e-17,4.63797641340276e-17,1,1
0.35,0,1.95585053998282e-19,1.05315029075998e-17,1.05315029075998e-17,1,1
0.36,0,4.149515568881e-20,2.33410250749556e-18,2.33410250749556e-18,1,1
0.37,0,8.59122207646751e-21,5.04563836236981e-19,5.04563836236981e-19,1,1
0.38,0,1.73447861573683e-21,1.06306753867742e-19,1.06306753867742e-19,1,1
0.39,0,3.41179949889773e-22,2.1813144337215e-20,2.1813144337215e-20,1,1
0.4,0,6.53318623500069e-23,4.35545749000046e-21,4.35545749000046e-21,1,1
0.41,0,1.21674946571841e-23,8.45537764312795e-22,8.45537764312795e-22,1,1
0.42,0,2.20190894783805e-24,1.59448578981376e-22,1.59448578981376e-22,1,1
0.43,0,3.86799200062062e-25,2.91795887766117e-23,2.91795887766117e-23,1,1
0.44,0,6.58874501471447e-26,5.17687108298994e-24,5.17687108298994e-24,1,1
0.45,0,1.08709863248921e-26,8.89444335672991e-25,8.89444335672991e-25,1,1
0.46,0,1.73530565594751e-27,1.47822333654787e-25,1.47822333654787e-25,1,1
0.47,0,2.67662148744614e-28,2.37360773415035e-26,2.37360773415035e-26,1,1
0.48,0,3.98413791427832e-29,3.67766576702614e-27,3.67766576702614e-27,1,1
0.49,0,5.71501809485042e-30,5.49089973818962e-28,5.49089973818962e-28,1,1
0.5,0,7.88860905221012e-31,7.88860905221012e-29,7.88860905221012e-29,1,1
0.51,0,1.04618382913143e-31,1.08888520991231e-29,1.08888520991231e-29,1,1
0.52,0,1.33083354007897e-32,1.44173633508555e-30,1.44173633508555e-30,1,1
0.53,0,1.62101037159106e-33,1.82794786583673e-31,1.82794786583673e-31,1,1
0.54,0,1.88704895981533e-34,2.2152313876093e-32,2.2152313876093e-32,1,1
0.55,0,2.09532491703984e-35,2.56095267638202e-33,2.56095267638202e-33,1,1
0.56,0,2.21445902420451e-36,2.8184023944421e-34,2.8184023944421e-34,1,1
0.57,0,2.22251938677617e-37,2.9461303499126e-35,2.9461303499126e-35,1,1
0.58,0,2.11314374101133e-38,2.91815088044422e-36,2.91815088044422e-36,1,1
0.59,0,1.89839102486065e-39,2.73183098699459e-37,2.73183098699459e-37,1,1
0.6,0,1.60693804425901e-40,2.41040706638851e-38,2.41040706638851e-38,1,1
0.61,0,1.27779358255347e-41,1.99860021886569e-39,1.99860021886569e-39,1,1
0.62,0,9.51392364630175e-43,1.55227175281765e-40,1.55227175281765e-40,1,1
0.63,0,6.60955782884386e-44,1.12541119788422e-41,1.12541119788422e-41,1,1
0.64,0,4.26825223812025e-45,7.58800397888045e-43,7.58800397888045e-43,1,1
0.65,0,2.55155206729875e-46,4.73859669641197e-44,4.73859669641197e-44,1,1
0.66,0,1.4056969554983e-47,2.72870585479082e-45,2.72870585479082e-45,1,1
0.67,0,7.10221782186673e-49,1.44196543656082e-46,1.44196543656082e-46,1,1
0.68,0,3.27339060789621e-50,6.95595504177945e-48,6.95595504177945e-48,1,1
0.69,0,1.36826237089667e-51,3.04548721264097e-49,3.04548721264097e-49,1,1
0.7,0,5.15377520732018e-53,1.20254754837471e-50,1.20254754837471e-50,1,1
0.71,0,1.73699988580577e-54,4.25265489283481e-52,4.25265489283481e-52,1,1
0.72,0,5.19760335657809e-56,1.33652657740579e-53,1.33652657740579e-53,1,1
0.73,0,1.36891479058589e-57,3.70113998936185e-55,3.70113998936185e-55,1,1
0.74,0,3.14293064158295e-59,8.9452641337361e-57,8.9452641337361e-57,1,1
0.75,0,6.22301527786114e-61,1.86690458335834e-58,1.86690458335834e-58,1,1
0.76,0,1.04984255112518e-62,3.3245014118964e-60,3.3245014118964e-60,1,1
0.77,0,1.48861915063629e-64,4.98363802604323e-62,4.98363802604323e-62,1,1
0.78,0,1.74690015040881e-66,6.19355507872214e-64,6.19355507872214e-64,1,1
0.79,0,1.66697648439631e-68,6.27100677463375e-66,6.27100677463375e-66,1,1
0.8,0,1.2676506002282e-70,5.07060240091279e-68,5.07060240091279e-68,1,1
0.81,0,7.50516241982497e-73,3.19956924213591e-70,3.19956924213591e-70,1,1
0.82,0,3.36705732427505e-75,1.53388166994752e-72,1.53388166994752e-72,1,1
0.83,0,1.10889937278081e-77,5.41403811416512e-75,5.41403811416512e-75,1,1
0.84,0,2.58224987808696e-80,1.35568118599566e-77,1.35568118599566e-77,1,1
0.85,0,4.06561177535221e-83,2.30384667269958e-80,2.30384667269958e-80,1,1
0.86,0,4.10018608884996e-86,2.51868574029355e-83,2.51868574029355e-83,1,1
0.87,0,2.47933511096598e-89,1.65924734349262e-86,1.65924734349262e-86,1,1
0.88,0,8.28179745220145e-93,6.0733181316144e-90,6.0733181316144e-90,1,1
0.89,0,1.37806123398221e-96,1.11497681658561e-93,1.11497681658561e-93,1,1
0.9,0,9.99999999999974e-101,8.99999999999976e-98,8.99999999999976e-98,1,1
0.91,0,2.65613988875865e-105,2.68565255418931e-102,2.68565255418931e-102,1,1
0.92,0,2.03703597633438e-110,2.34259137278454e-107,2.34259137278454e-107,1,1
0.93,0,3.23447650962504e-116,4.29723307707326e-113,4.29723307707326e-113,1,1
0.94,0,6.53318623500127e-123,1.0235325101502e-119,1.0235325101502e-119,1,1
0.95,0,7.88860905221082e-131,1.49883571992005e-127,1.49883571992005e-127,1,1
0.96,0,1.60693804425914e-140,3.85665130622193e-137,3.85665130622193e-137,1,1
0.97,0,5.15377520732056e-153,1.66638731703365e-149,1.66638731703365e-149,1,1
0.98,0,1.26765060022835e-170,6.21148794111889e-167,6.21148794111889e-167,1,1
0.99,0,1.00000000000009e-200,9.9000000000009e-197,9.9000000000009e-197,1,1
1,0,0,0,0,1,1
0,0.01,1,0,NaN,0,NaN
0.01,0.01,0.427495720512351,0.384734286053275,0.672019930397002,0.18776999343437,0.327980069602992
0.02,0.01,0.25537734588342,0.327247948630446,0.439481590871947,0.41737470548613,0.560518409128047
0.03,0.01,0.193182288972423,0.240333835103437,0.297878730001284,0.566483875924138,0.702121269998714
0.04,0.01,0.161729106616517,0.182805344413069,0.218074307310395,0.655465548970414,0.781925692689605
0.05,0.01,0.140446380187323,0.148345670825177,0.172584545519692,0.711207948987498,0.827415454480306
0.06,0.01,0.123998108006306,0.126601851009656,0.144522348829091,0.749400040984036,0.855477651170908
0.07,0.01,0.110733787159703,0.111488563864307,0.125371415504717,0.777777648975987,0.874628584495279
0.08,0.01,0.0998680790442891,0.100051719337871,0.111152284469194,0.800080201617839,0.888847715530805
0.09,0.01,0.0908658678913407,0.0908966619399913,0.0999815744780852,0.818237470168668,0.900018425521915
0.1,0.01,0.0833200463518067,0.0833185831586632,0.0908916823446098,0.83336137048953,0.90910831765539
0.11,0.01,0.0769192682243995,0.0769147190675939,0.0833239351878182,0.846166012708006,0.916676064812181
0.12,0.01,0.0714275702588753,0.07142477632203,0.0769189069526245,0.857147653419095,0.923081093047376
0.13,0.01,0.0666664347216973,0.0666651411763822,0.0714269192242153,0.866668424101921,0.928573080775785
0.14,0.01,0.0624999577961409,0.0624994370829087,0.0666660632206331,0.875000605120947,0.933333936779363
0.15,0.01,0.0588235265088518,0.0588233355903002,0.0624997938719231,0.882353137900846,0.937500206128075
0.16,0.01,0.0555555578622094,0.0555554928305684,0.0588234631407393,0.88888894930722,0.941176536859258
0.17,0.01,0.0526315805917643,0.0526315598326056,0.0555555354752921,0.894736859575628,0.944444464524706
0.18,0.01,0.0500000007548856,0.0499999945296372,0.0526315732309137,0.900000004715478,0.947368426769087
0.19,0.01,0.0476190479100682,0.0476190461609548,0.0499999984842811,0.904761905928977,0.950000001515719
0.2,0.01,0.0454545455554409,0.0454545450989856,0.0476190472515896,0.909090909345575,0.952380952748412
0.21,0.01,0.0434782609018776,0.0434782607933519,0.0454545453764034,0.913043478304771,0.954545454623597
0.22,0.01,0.0416666666763394,0.0416666666538454,0.0434782608566253,0.916666666669815,0.956521739143374
0.23,0.01,0.0400000000027184,0.0399999999991525,0.0416666666659018,0.919999999998127,0.958333333334096
0.24,0.01,0.0384615384622552,0.0384615384620974,0.0400000000006111,0.923076923075647,0.959999999999388
0.25,0.01,0.0370370370372133,0.0370370370374024,0.0384615384619249,0.925925925925384,0.961538461538075
0.26,0.01,0.0357142857143256,0.0357142857144367,0.0370370370371951,0.928571428571237,0.962962962962804
0.27,0.01,0.0344827586206977,0.0344827586207414,0.0357142857143397,0.931034482758559,0.964285714285658
0.28,0.01,0.0333333333333347,0.0333333333333492,0.0344827586207061,0.933333333333316,0.965517241379293
0.29,0.01,0.0322580645161291,0.0322580645161334,0.0333333333333379,0.935483870967736,0.96666666666666
0.3,0.01,0.0312499999999999,0.0312500000000011,0.0322580645161301,0.937499999999997,0.967741935483868
0.31,0.01,0.0303030303030302,0.0303030303030305,0.0312500000000002,0.939393939393936,0.968749999999997
0.32,0.01,0.0294117647058823,0.0294117647058823,0.0303030303030303,0.941176470588233,0.969696969696967
0.33,0.01,0.0285714285714285,0.0285714285714285,0.0294117647058823,0.942857142857141,0.970588235294116
0.34,0.01,0.0277777777777777,0.0277777777777777,0.0285714285714285,0.944444444444442,0.971428571428569
0.35,0.01,0.027027027027027,0.027027027027027,0.0277777777777777,0.945945945945944,0.97222222222222
0.36,0.01,0.0263157894736842,0.0263157894736842,0.027027027027027,0.947368421052629,0.972972972972971
0.37,0.01,0.0256410256410256,0.0256410256410256,0.0263157894736842,0.948717948717947,0.973684210526314
0.38,0.01,0.025,0.025,0.0256410256410256,0.949999999999999,0.974358974358974
0.39,0.01,0.024390243902439,0.024390243902439,0.025,0.95121951219512,0.974999999999998
0.4,0.01,0.0238095238095238,0.0238095238095238,0.024390243902439,0.95238095238095,0.975609756097559
0.41,0.01,0.0232558139534883,0.0232558139534883,0.0238095238095238,0.953488372093022,0.976190476190475
0.42,0.01,0.0227272727272727,0.0227272727272727,0.0232558139534884,0.954545454545454,0.976744186046511
0.43,0.01,0.0222222222222222,0.0222222222222222,0.0227272727272727,0.955555555555555,0.977272727272726
0.44,0.01,0.0217391304347826,0.0217391304347826,0.0222222222222222,0.956521739130435,0.977777777777778
0.45,0.01,0.0212765957446809,0.0212765957446809,0.0217391304347826,0.957446808510639,0.978260869565218
0.46,0.01,0.0208333333333333,0.0208333333333333,0.0212765957446809,0.958333333333333,0.978723404255319
0.47,0.01,0.0204081632653061,0.0204081632653061,0.0208333333333333,0.959183673469384,0.979166666666663
0.48,0.01,0.02,0.02,0.0204081632653061,0.959999999999997,0.979591836734691
0.49,0.01,0.0196078431372549,0.0196078431372549,0.02,0.960784313725488,0.979999999999998
0.5,0.01,0.0192307692307692,0.0192307692307692,0.0196078431372548,0.961538461538459,0.980392156862742
0.51,0.01,0.0188679245283019,0.0188679245283019,0.0192307692307692,0.962264150943396,0.980769230769231
0.52,0.01,0.0185185185185185,0.0185185185185185,0.0188679245283019,0.962962962962962,0.981132075471698
0.53,0.01,0.0181818181818182,0.0181818181818182,0.0185185185185185,0.963636363636362,0.981481481481479
0.54,0.01,0.0178571428571429,0.0178571428571429,0.0181818181818182,0.964285714285715,0.981818181818182
0.55,0.01,0.0175438596491228,0.0175438596491228,0.0178571428571428,0.964912280701753,0.982142857142856
0.56,0.01,0.0172413793103448,0.0172413793103448,0.0175438596491228,0.965517241379309,0.982456140350875
0.57,0.01,0.0169491525423728,0.0169491525423728,0.0172413793103448,0.966101694915252,0.982758620689653
0.58,0.01,0.0166666666666666,0.0166666666666666,0.0169491525423728,0.966666666666664,0.983050847457625
0.59,0.01,0.0163934426229508,0.0163934426229508,0.0166666666666667,0.967213114754099,0.983333333333334
0.6,0.01,0.0161290322580645,0.0161290322580645,0.0163934426229508,0.96774193548387,0.983606557377048
0.61,0.01,0.0158730158730159,0.0158730158730159,0.0161290322580645,0.968253968253968,0.983870967741936
0.62,0.01,0.015625,0.015625,0.0158730158730159,0.968749999999999,0.984126984126983
0.63,0.01,0.0153846153846154,0.0153846153846154,0.015625,0.969230769230768,0.984374999999999
0.64,0.01,0.0151515151515152,0.0151515151515152,0.0153846153846154,0.96969696969697,0.984615384615385
0.65,0.01,0.0149253731343283,0.0149253731343283,0.0151515151515151,0.97014925373134,0.984848484848482
0.66,0.01,0.0147058823529412,0.0147058823529412,0.0149253731343284,0.970588235294117,0.985074626865671
0.67,0.01,0.0144927536231884,0.0144927536231884,0.0147058823529412,0.971014492753622,0.985294117647057
0.68,0.01,0.0142857142857143,0.0142857142857143,0.0144927536231884,0.971428571428571,0.985507246376812
0.69,0.01,0.0140845070422535,0.0140845070422535,0.0142857142857143,0.971830985915492,0.985714285714284
0.7,0.01,0.0138888888888889,0.0138888888888889,0.0140845070422535,0.972222222222222,0.985915492957746
0.71,0.01,0.0136986301369863,0.0136986301369863,0.0138888888888889,0.972602739726025,0.986111111111108
